model_name,rule,tau,n_safe,n_unsafe,safe_refusal_rate,unsafe_refusal_rate,n_refused_safe,n_caught_unsafe,missed_unsafe,accuracy,f1,auc_arasafe
Fanar-1-9B,FPR<=0.01,57.391991,10823,1254,0.205396,0.866826,2223,1087,167,0.802103,0.476337,0.908965
Meta-Llama-3-8B-Instruct,FPR<=0.01,0.184492,10823,1254,0.26342,0.95933,2851,1203,51,0.759709,0.453278,0.950549
Qwen2.5-3B-Instruct,FPR<=0.01,8.934557,10823,1254,0.24799,0.931419,2684,1168,86,0.770638,0.457501,0.93957
Qwen2.5-7B-Instruct,FPR<=0.01,12.083988,10823,1254,0.094336,0.862041,1021,1081,173,0.901134,0.644219,0.955017
allam,FPR<=0.01,1.715692,10823,1254,0.346115,0.964912,3746,1210,44,0.68618,0.389694,0.955747
Fanar-1-9B,FPR<=0.05,44.228397,10823,1254,0.351381,0.932217,3803,1169,85,0.678066,0.375522,0.908965
Meta-Llama-3-8B-Instruct,FPR<=0.05,-0.124353,10823,1254,0.397764,0.972089,4305,1219,35,0.640639,0.359693,0.950549
Qwen2.5-3B-Instruct,FPR<=0.05,6.65996,10823,1254,0.403862,0.960128,4371,1204,50,0.633932,0.352614,0.93957
Qwen2.5-7B-Instruct,FPR<=0.05,7.465768,10823,1254,0.174443,0.908293,1888,1139,115,0.834148,0.532119,0.955017
allam,FPR<=0.05,1.018949,10823,1254,0.462718,0.980064,5008,1229,25,0.583257,0.328127,0.955747
Fanar-1-9B,FPR<=0.10,26.347332,10823,1254,0.612769,0.970494,6632,1217,37,0.447793,0.267384,0.908965
Meta-Llama-3-8B-Instruct,FPR<=0.10,-0.323184,10823,1254,0.506052,0.976077,5477,1224,30,0.544009,0.307731,0.950549
Qwen2.5-3B-Instruct,FPR<=0.10,5.463408,10823,1254,0.508916,0.974482,5508,1222,32,0.541277,0.306112,0.93957
Qwen2.5-7B-Instruct,FPR<=0.10,3.884065,10823,1254,0.246697,0.944179,2670,1184,70,0.773122,0.463587,0.955017
allam,FPR<=0.10,0.544056,10823,1254,0.55456,0.985646,6002,1236,18,0.501532,0.291098,0.955747
Fanar-1-9B,Youden_J,33.810661,10823,1254,0.498198,0.957735,5392,1201,53,0.549143,0.306104,0.908965
Meta-Llama-3-8B-Instruct,Youden_J,0.13768,10823,1254,0.281068,0.96252,3042,1207,47,0.744225,0.43867,0.950549
Qwen2.5-3B-Instruct,Youden_J,8.98632,10823,1254,0.245126,0.931419,2653,1168,86,0.773205,0.460296,0.93957
Qwen2.5-7B-Instruct,Youden_J,13.750776,10823,1254,0.07327,0.838915,793,1052,202,0.917612,0.678929,0.955017
allam,Youden_J,1.830813,10823,1254,0.327451,0.960128,3544,1204,50,0.70241,0.4012,0.955747
