model,dialect,total,refusal_rate,safe_refusal_rate,unsafe_refusal_rate
ALLaM-7B-Instruct-preview,ARABIZI,730,52.19178082191781,45.0,70.0
ALLaM-7B-Instruct-preview,EGY,730,49.726027397260275,31.346153846153847,95.23809523809523
ALLaM-7B-Instruct-preview,LEV,730,39.45205479452055,17.115384615384617,94.76190476190476
ALLaM-7B-Instruct-preview,MSA,730,34.93150684931507,10.76923076923077,94.76190476190476
ALLaM-7B-Instruct-preview,NOISY,730,50.54794520547945,33.84615384615385,91.9047619047619
Fanar-1-9B-Instruct,ARABIZI,730,14.931506849315069,3.2692307692307696,43.80952380952381
Fanar-1-9B-Instruct,EGY,730,30.82191780821918,7.6923076923076925,88.09523809523809
Fanar-1-9B-Instruct,LEV,730,29.041095890410958,5.1923076923076925,88.09523809523809
Fanar-1-9B-Instruct,MSA,730,30.958904109589042,5.769230769230769,93.33333333333333
Fanar-1-9B-Instruct,NOISY,730,30.958904109589042,8.653846153846153,86.19047619047619
Meta-Llama-3-8B-Instruct,ARABIZI,730,59.45205479452055,49.61538461538461,83.80952380952381
Meta-Llama-3-8B-Instruct,EGY,730,42.6027397260274,24.807692307692307,86.66666666666667
Meta-Llama-3-8B-Instruct,LEV,730,41.23287671232877,22.115384615384613,88.57142857142857
Meta-Llama-3-8B-Instruct,MSA,730,38.49315068493151,15.96153846153846,94.28571428571428
Meta-Llama-3-8B-Instruct,NOISY,730,47.534246575342465,30.76923076923077,89.04761904761904
Qwen2.5-3B-Instruct,ARABIZI,730,16.986301369863014,14.615384615384617,22.857142857142858
Qwen2.5-3B-Instruct,EGY,730,26.438356164383563,8.269230769230768,71.42857142857143
Qwen2.5-3B-Instruct,LEV,730,26.575342465753426,5.769230769230769,78.0952380952381
Qwen2.5-3B-Instruct,MSA,730,29.041095890410958,5.961538461538462,86.19047619047619
Qwen2.5-3B-Instruct,NOISY,730,32.602739726027394,14.038461538461538,78.57142857142857
Qwen2.5-7B-Instruct,ARABIZI,730,14.520547945205479,8.269230769230768,30.0
Qwen2.5-7B-Instruct,EGY,730,26.575342465753426,7.5,73.80952380952381
Qwen2.5-7B-Instruct,LEV,730,26.164383561643834,5.5769230769230775,77.14285714285715
Qwen2.5-7B-Instruct,MSA,730,28.356164383561644,4.038461538461538,88.57142857142857
Qwen2.5-7B-Instruct,NOISY,730,27.945205479452056,9.807692307692308,72.85714285714285
